X,Y,FID,Plant_Name,Owner,Operator,City,State,County,ZipCode,Period,Cap_MMcfd,Plant_Flow,BTU_Conten,Dry_Stor,NGL_Stor,Longitude,Latitude,Source
-97.68911,34.46139,443,Velma Gas Plant,Targa Pipeline Mid-Continent LLC,Targa Pipeline Mid-Continent LLC,Velma,OK,Stephens,73491,2017,160,151,1210,0,4500,-97.68911,34.46139,"EIA-757, Natural Gas Processing Plant Survey"
-89.38501,29.23722,444,Venice Gas Plant,"Targa Resources, LLC",Targa Resources,Venice,LA,Plaquemines,70091,2017,750,450,1180,0,0,-89.38501,29.23722,"EIA-757, Natural Gas Processing Plant Survey"
-119.27017,34.3122,445,Venture Gas Plant 7,Aera Energy LLC,Aera Energy LLC,Ventura,CA,Ventura,93001,2017,12,8,1168,0,1400,-119.27017,34.3122,"EIA-757, Natural Gas Processing Plant Survey"
-108.76185,41.05852,446,Vermillion Gas Plant,Andeavor Field Services LLC,Andeavor Field Services LLC,Rock Springs,WY,Sweetwater,82934,2017,57,49,1068,0,685,-108.76185,41.05852,"EIA-757, Natural Gas Processing Plant Survey"
-93.9871,32.8716,447,Vivian Gas Processing,"Caruthers Producing Co, Inc","Caruthers Producing Co, Inc",Vivian,LA,Caddo, ,2017,1,1,0,0,714,-93.9871,32.8716,"EIA-757, Natural Gas Processing Plant Survey"
-103.08667,31.26889,448,Waha Plant,ETC Field Services LLC,ETC Field Services LLC,Pecos,TX,Pecos,79730,2017,120,120,1184,0,0,-103.08667,31.26889,"EIA-757, Natural Gas Processing Plant Survey"
-94.07278,32.4717,449,Waskom Gas Processing,"Enable Midsteam Partners, LP",Enable Midstream Partners,Waskom,TX,Harrision,75692,2017,250,210,1080,0,48000,-94.07278,32.4717,"EIA-757, Natural Gas Processing Plant Survey"
-102.75465,33.01171,450,Wasson ODC Unit CO2 Removal Plant,Occidental Permian Ltd 04,Occidental Permian Ltd,Denver City,TX,Yoakum,79323,2017,100,96,0,0,4300,-102.75465,33.01171,"EIA-757, Natural Gas Processing Plant Survey"
-103.77944,47.92216,451,Watford City Gas Plant,Hiland Partners Holdings  LLC,Kinder Morgan,Alexander,ND,McKenzie,58831,2017,85,57,1445,0,61429,-103.77944,47.92216,"EIA-757, Natural Gas Processing Plant Survey"
-104.68154,39.74643,452,Wattenberg Gas Plant,Anadarko Petroleum Company, ,Aurora,CO,Adams,80019,2017,250,183,1259,0,9500,-104.68154,39.74643,"EIA-757, Natural Gas Processing Plant Survey"
-98.76633,36.6517,453,Waynoka Plant,"TPL Mid-Continent Westok, LLC","Tpl Mid-Continent Westok, LLC",Alva,OK,Woods,73717,2017,430,340,1130,0,0,-98.76633,36.6517,"EIA-757, Natural Gas Processing Plant Survey"
-80.80767,39.32406,454,West Union NGL Extraction Plant,"Dominion Gathering and Processing, Inc.","Dominion Energy Transmission, Inc.",West Union,WV,Doddridge,26456,2017,35,0,0,0,2514,-80.80767,39.32406,"EIA-757, Natural Gas Processing Plant Survey"
