GEOID,2019_Population,INTPTLAT,INTPTLONG                                                                                                               
18127,170389,41.509914,-87.071313
18129,25427,38.027614,-87.868653
18131,12353,41.045272,-86.692538
18133,37576,39.665548,-86.853373
18135,24665,40.164079,-85.00579
18137,28324,39.100226,-85.260494
18139,16581,39.622362,-85.466529
18141,271826,41.617723,-86.288048
18143,23873,38.679431,-85.751898
18145,44729,39.524135,-85.792174
18147,20277,38.009697,-87.010375
18149,22995,41.284478,-86.644636
18151,34594,41.643467,-85.002405
18153,20669,39.089225,-87.415843
18155,10751,38.825854,-85.029681
18157,195732,40.389133,-86.893554
18159,15148,40.310229,-86.056207
18161,7054,39.623111,-84.925152
18163,181451,38.02007,-87.586166
18165,15498,39.854045,-87.462071
18167,107038,39.430874,-87.390989
18169,30996,40.843747,-85.795192
18171,8265,40.352498,-87.375163
18173,62998,38.097728,-87.272049
18175,28036,38.600613,-86.104751
18177,65884,39.863091,-85.006735
18179,28296,40.735273,-85.212974
18181,24102,40.75095,-86.864293
18183,33964,41.136426,-85.501892
19001,7152,41.328528,-94.478164
19003,3602,41.021656,-94.696906
19005,13687,43.274964,-91.382751
19007,12426,40.744249,-92.873062
19009,5496,41.679178,-94.904312
19011,25645,42.092547,-92.05763
19013,131228,42.471132,-92.3076
19015,26234,42.038623,-93.938605
19017,25062,42.780895,-92.327356
19019,21175,42.470328,-91.838666
19021,19620,42.741522,-95.141432
19023,14439,42.734757,-92.780153
19025,9668,42.38617,-94.643683
19027,20165,42.039502,-94.86765
19029,12836,41.333824,-94.933302
19031,18627,41.77236,-91.132611
19033,42450,43.074975,-93.250965
19035,11235,42.742737,-95.633262
19037,11933,43.059741,-92.31721
19039,9395,41.029726,-93.785259
19041,16016,43.081224,-95.149875
19043,17549,42.840985,-91.323576
