Model,Type,Stage,Unit,CO2,"CO2 (VOC, CO, CO2)",CH4,N2O,GHG,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC
BEV300_NMC111,Fixed,Battery.Graphite.Prod,g,518064.1466,518701.3828,1192.107456,11.33276462,557467.7891,127.0697388,153.4922645,1535.258347,609.0520099,303.7118131,8399.014467,2.251809056,4.584057634
BEV300_NMC111,Fixed,Battery.Ni.Mine,g,175325.7673,175610.6237,233.0106276,35.4463465,191994.2244,26.02234088,129.6613003,536.0723516,38.94159636,27.64355342,337.9724579,2.366842402,4.156789642
BEV300_NMC111,Fixed,Battery.Ni.Prod,g,749005.7807,751154.098,1487.926566,64.07048932,812770.5746,179.4732308,1011.155754,1406.549287,536.8883119,294.030575,61077.63822,7.556425057,16.11269996
BEV300_NMC111,Fixed,Battery.Mn.Mine,g,53561.21555,0,112.6510634,0.96165307,0,6.498511759,29.95565215,40.31190772,213.3301567,107.0198531,25.30527433,0.191662989,0.857906998
BEV300_NMC111,Fixed,Battery.Co.Mine,g,94580.88794,94839.67075,116.0252557,2.313634136,98933.54146,32.72517318,99.77504209,228.6039385,2681.160251,288.6807377,5.229096955,9.616868143,2.891803049
BEV300_NMC111,Fixed,Battery.Co.Prod,g,628102.396,629097.1946,1535.298321,14.80044296,679078.2616,121.5324979,392.0141685,711.6508443,73.25594482,51.29449073,2837.896414,5.858041897,15.62761979
BEV300_NMC111,Fixed,Battery.Remainder,g,3998155.301,4057876.053,10772.42764,101.3638572,4467127.45,747.6714312,2393.978488,3561.676084,735.012473,438.1104076,3822.859437,28.52260034,79.72358681
BEV300_NMC111,Fixed,Battery.Total,g,7371335.585,7383703.963,17232.78727,241.8015244,8020347.762,1429.352207,5035.904555,9641.488837,5178.413185,1713.406455,83545.10679,75.81877856,159.84985
BEV300_NMC111,Fixed,Car.Cu.Mine,g,20742.33622,20782.48426,37.92498465,0.28049917,21994.56607,2.668728151,20.25577222,19.2035415,6.899539124,3.450359633,7.132395967,0.065557285,0.25481381
BEV300_NMC111,Fixed,Car.Cu.Prod,g,244444.2918,244833.5579,528.3870957,6.015647345,262279.3173,29.73721755,188.7359355,271.6829325,33.30453228,20.80220525,13910.73592,4.288655741,4.438556386
