Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation
60336,SDGE Batteries,60566,Pala Energy Storage Yard,CA,San Diego,SES1,OP,Batteries,BA,Electric Utility,1,0.5,0.5,0.5,12,2012,1.5,0.5,0.5,LIB,,,,1.5,CS,,,,,,,Y,,,,
60336,SDGE Batteries,60566,Pala Energy Storage Yard,CA,San Diego,SES2,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,8,2015,2.0,1.0,1.0,LIB,,,,1.5,CS,,,,,,,Y,,,,
60336,SDGE Batteries,60567,Ortega Highway Energy Storage,CA,Orange,SES1,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,5,2015,3.0,1.0,1.0,LIB,,,,2.0,CS,,,,,,,Y,Y,,Y,
60336,SDGE Batteries,60567,Ortega Highway Energy Storage,CA,Orange,SES2,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,10,2015,3.0,1.0,1.0,LIB,,,,2.0,CS,,,,,,,Y,Y,,Y,
60336,SDGE Batteries,60568,Canyon Crest Academy,CA,San Diego,SES,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,10,2014,3.0,1.0,1.0,LIB,,,,1.0,CS,,,,,,,Y,Y,,Y,
16609,San Diego Gas & Electric Co,60569,El Cajon Energy Storage,CA,San Diego,SES,OP,Batteries,BA,Electric Utility,1,7.5,7.5,7.5,2,2017,30.0,7.5,7.5,LIB,,,,7.5,CS,Y,,,,,,,,,Y,
16609,San Diego Gas & Electric Co,60570,Escondido Energy Storage,CA,San Diego,SES,OP,Batteries,BA,Electric Utility,1,30.0,30.0,30.0,3,2017,120.0,30.0,30.0,LIB,,,,30.0,CS,Y,,,,,,,,,Y,Y
60947,Tesla Inc.,60607,CMEEC - Polaris Park Solar Hybrid,CT,New London,BA1,OP,Batteries,BA,IPP Non-CHP,2,0.8,0.8,0.8,8,2017,3.3,0.8,0.8,LIB,,,,1.0,CS,,,,,,,,,,,Y
60947,Tesla Inc.,60609,CMEEC - Norwich Stott St Solar Hybrid,CT,New London,BA1,OP,Batteries,BA,IPP Non-CHP,2,0.8,0.8,0.8,12,2016,3.0,0.8,0.8,LIB,,,,1.0,CS,,,,,,,,,,Y,Y
9324,Indiana Michigan Power Co,60617,AEP Churubusco NaS,IN,Whitley,1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,1,2009,2.0,2.0,2.0,NAB,,,,2.0,CS,,,,,,,,Y,,,
14006,Ohio Power Co,60618,AEP Bluffton NaS,OH,Allen,1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,12,2008,2.0,2.0,2.0,NAB,,,,2.0,CS,,,,,,,,Y,,,
60389,Rabbit Hill Energy Storage Project,60649,Rabbit Hill Energy Storage Project,TX,Williamson,1,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,4,2020,9.9,9.9,9.9,LIB,,,,9.9,CS,,Y,,,,,,,,,
57170,"EDF Renewable Asset Holdings, Inc.",60656,McHenry Battery Storage,IL,McHenry,MCH1,OP,Batteries,BA,IPP Non-CHP,2,19.8,19.8,19.8,2,2016,7.8,19.8,19.8,LIB,,,,6.1,CS,,Y,,,,,,,,,
60394,"Willey Battery Utility, LLC",60660,Willey Battery Utility,OH,Hamilton,WBU,OP,Batteries,BA,IPP Non-CHP,2,6.0,6.0,6.0,1,2016,2.0,6.0,6.0,LIB,,,,6.0,CS,,Y,,,,,,,,,
17609,Southern California Edison Co,60661,Mira Loma Energy Storage Facility,CA,San Bernardino,013A,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,40.0,10.0,10.0,LIB,,,,3.3,CS,Y,Y,Y,Y,,Y,Y,Y,Y,,
17609,Southern California Edison Co,60661,Mira Loma Energy Storage Facility,CA,San Bernardino,013B,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,40.0,10.0,10.0,LIB,,,,3.3,CS,Y,Y,Y,Y,,Y,Y,Y,Y,,
