"","date","hour.ending","hour","AECO","AEPAPT","AEPIMP","AEPKPT","AEPOPT","AP","BC","CE","DAY","DEOK","DOM","DPLCO","DUQ","EASTON","EKPC","JC","ME","OE","OVEC","PAPWR","PE","PEPCO","PLCO","PN","PS","RECO","SMECO","UGI","VMEU"
"7954",2019-11-28,10,7954,865.185,4668.539,2780.698,747.65,6099.296,5600.814,3315.855,9412.553,1882,2902.207,10844.363,1951.89,1414.021,27.263,1858.212,2102.825,1685.262,6407.499,36,514.126,4153.751,2615.096,4442.188,2066.272,3978.109,134.832,427.559,127.956,57.85
"7955",2019-11-28,11,7955,853.017,4696.999,2797.059,765.307,6297.324,5761.869,3366.863,9668.558,1946,3012.816,10875.358,1986.467,1448.462,26.742,1877.769,2166.775,1725.744,6622.06,38,536.409,4232.531,2646.479,4581.463,2138.363,4084.266,141.905,442.432,134.817,60.09
"7956",2019-11-28,12,7956,836.703,4640.348,2795.342,760.846,6307.646,5786.151,3371.938,9870.505,1949,3031.965,10849.648,2004.05,1472.42,26.757,1818.393,2256.188,1729.693,6681.388,38,540.102,4288.972,2721.416,4632.205,2135.593,4123.344,146.696,441.365,137.694,55.724
"7957",2019-11-28,13,7957,863.189,4442.942,2714.792,725.329,6051.327,5660.242,3404.49,9908.533,1863,2971.476,10633.163,2002.623,1473.674,26.767,1670.324,2269.299,1662.914,6598.183,39,527.278,4303.694,2704.853,4482.674,2005.068,4228.489,150.702,431.792,135.458,53.935
"7958",2019-11-28,14,7958,926.919,4208.628,2598.013,680.322,5783.415,5440.247,3412.882,9843.865,1767,2865.933,10369.93,1977.533,1449.242,26.272,1532.07,2284.114,1594.391,6345.153,38,507.11,4239.025,2769.14,4284.223,1906.634,4232.615,148.198,429.031,125.678,62.817
"7959",2019-11-28,15,7959,943.439,4057.311,2532.495,655.477,5628.155,5267.959,3323.445,9684.339,1707,2776.411,10128.115,1936.888,1436.329,25.79,1447.555,2235.591,1530.393,6122.959,42,486.385,4150.954,2750.186,4142.99,1831.311,4190.428,145.551,418.369,120.628,64.66
"7960",2019-11-28,16,7960,912.955,4000.596,2504.434,638.999,5514.73,5158.193,3239.895,9564.438,1667,2686.583,10138.477,1884.049,1399.65,26.255,1432.558,2200.906,1498.494,5970.605,37,473.603,4048.67,2670.778,4040.231,1802.395,4165.555,146.086,399.051,117.32,62.748
"7961",2019-11-28,17,7961,955.864,4043.912,2508.81,642.039,5516.177,5204.795,3209.148,9526.07,1652,2648.759,10398.997,1887.491,1407.507,26.24,1446.233,2306.346,1516.136,5981.385,38,472.339,4056.027,2676.441,4123.959,1812.919,4313.552,152.17,397.142,118.24,64.945
"7962",2019-11-28,18,7962,988.226,4233.507,2551.315,676.27,5630.318,5315.923,3321.656,9785.248,1693,2694.518,10834.349,1950.335,1417.473,27.258,1488.911,2409.125,1557.982,6122.192,37,484.824,4152.137,2752.334,4206.473,1866.455,4476.236,157.7,414.542,120.347,67.569
"7963",2019-11-28,19,7963,992.292,4312.458,2483.769,688.326,5627.85,5307.897,3266.472,9812.217,1690,2678.962,10843.162,1947.732,1410.864,27.77,1545.652,2393.738,1547.511,6125.715,34,481.275,4110.816,2638.51,4204.384,1856.987,4421.297,155.756,415.991,120.116,66.944
"7964",2019-11-28,20,7964,986.048,4366.144,2568.346,700.829,5613.537,5295.656,3237.642,9666.214,1687,2664.388,10857.741,1953.938,1399.611,27.248,1576.041,2385.152,1551.666,6073.873,32,481.015,4082.704,2609.808,4180.509,1845.576,4382.945,153.878,417.949,121.065,66.804
"7965",2019-11-28,21,7965,992.141,4400.746,2621.68,703.944,5589.522,5309.394,3255.116,9581.147,1674,2657.028,10929.159,1964.746,1396.045,27.246,1577.521,2380.555,1550.515,6111.918,40,474.916,4062.373,2587.221,4156.238,1846.615,4375.268,152.138,420.808,120.813,66.882
"7966",2019-11-28,22,7966,976.141,4377.612,2566.63,700.735,5504.686,5215.669,3236.254,9502.133,1654,2628.747,10874.482,1948.521,1383.13,26.766,1565.254,2346.737,1516.381,6018.546,37,473.081,4068.197,2569.425,4088.731,1820.7,4349.049,149.593,416.078,118.835,66.315
"7967",2019-11-28,23,7967,911.652,4302.759,2483.973,697.996,5364.766,5084.093,3154.46,9352.775,1622,2562.621,10674.204,1901.619,1342.516,26.802,1543.722,2258.647,1464.188,5853.453,37,457.223,3979.658,2496.469,3974.23,1746.144,4293.352,142.907,402.081,113.3,64.276
"7968",2019-11-28,24,7968,906.794,4198.019,2451.319,686.412,5187.539,4906.497,3049.468,9087.997,1563,2490.658,10388.388,1843.952,1301.08,25.77,1465.629,2137.878,1411.594,5639.674,32,439.143,3808.058,2441.958,3835.225,1696.166,4132.744,133.091,385.392,108.289,62.21
